cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
7.841479281526409,7.4773451268378395,4.649281188964754,2.8280639378730847,0,0,,2660.0,"917568081.851686,1147392081.85169",2660,left_cw1,917568081.8516864,1147392081.8516865,left_cw1,2660.0
7.8309003255247465,7.477717573984705,4.591855566830188,2.885862007154518,0,0,,2580.0,"364608081.851686,587520081.851686",2580,left_cw1,364608081.8516864,587520081.8516865,left_cw1,2580.0
7.842082312013011,7.477948157324442,4.489306102197746,2.9886420551266957,0,0,,2660.0,"900288081.851686,1130112081.85169",2660,left_cw0,900288081.8516864,1130112081.8516865,left_cw0,2660.0
7.8314736756512335,7.478290924111192,4.712439528001235,2.7658513961099573,0,0,,2580.0,"19008081.8516864,241920081.851686",2580,left_cw0,19008081.851686403,241920081.85168642,left_cw0,2580.0
7.848924071536958,7.479314215274124,4.442281093230542,3.0370331220435824,0,0,,2700.0,"1728081.8516864,235008081.851686",2700,left_cw0,1728081.8516864013,235008081.8516864,left_cw0,2700.0
7.707310805234762,7.480069189902798,4.536570647685441,2.943498542217357,0,0,,1660.0,"459648081.851686,603072081.851686",1660,left_cw1,459648081.8516864,603072081.8516865,left_cw1,1660.0
7.686416484300549,7.481077675265642,4.775875118120871,2.70520255714477,0,0,,1500.0,"114048081.851686,243648081.851686",1500,left_cw0,114048081.8516864,243648081.85168642,left_cw0,1500.0
7.830013363277791,7.482306313312014,4.775901625173083,2.7064046881389308,0,0,,2540.0,"571968081.851686,791424081.851686",2540,left_cw0,571968081.8516864,791424081.8516864,left_cw0,2540.0
7.561863969102463,7.482466296275632,4.646687473763346,2.8357788225122857,0,0,,580.0,"554688081.851686,604800081.851686",580,0rev_cw1,554688081.8516864,604800081.8516864,0rev_cw1,580.0
7.687072451316608,7.487209343855964,4.562766885698632,2.924442458157333,0,0,,1460.0,"907200081.851686,1033344081.85169",1460,left_cw0,907200081.8516864,1033344081.8516864,left_cw0,1460.0
7.835480941931279,7.487773891965502,4.470429177278282,3.01734471468722,0,0,,2540.0,"554688081.851686,774144081.851686",2540,right_cw0,554688081.8516864,774144081.8516864,right_cw0,2540.0
7.830324599709467,7.488093251317954,4.46439761919494,3.023695632123014,0,0,,2500.0,"727488081.851686,943488081.851686",2500,right_cw1,727488081.8516864,943488081.8516864,right_cw1,2500.0
7.85877303014065,7.489163173877817,4.610661152600395,2.878502021277422,0,0,,2700.0,"554688081.851686,787968081.851686",2700,left_cw1,554688081.8516864,787968081.8516864,left_cw1,2700.0
7.695153063345382,7.489814254310474,4.487691490953816,3.0021227633566583,0,0,,1500.0,"8640081.8516864,138240081.851686",1500,left_cw0,8640081.851686401,138240081.8516864,left_cw0,1500.0
7.69289067065108,7.493027563190436,4.697886759880048,2.7951408033103884,0,0,,1460.0,"632448081.851686,758592081.851686",1460,left_cw1,632448081.8516864,758592081.8516864,left_cw1,1460.0
7.863654623195329,7.494044766932495,4.5109259350703725,2.983118831862122,0,0,,2700.0,"364608081.851686,597888081.851686",2700,left_cw1,364608081.8516864,597888081.8516865,left_cw1,2700.0
7.843555661100769,7.495848611134992,4.502830266740428,2.9930183443945633,0,0,,2540.0,"917568081.851686,1137024081.85169",2540,right_cw0,917568081.8516864,1137024081.8516865,right_cw0,2540.0
7.69688282710493,7.497019719644286,4.4106629826455555,3.086356736998731,0,0,,1460.0,"388800081.851686,514944081.851686",1460,left_cw1,388800081.8516864,514944081.8516864,left_cw1,1460.0
7.84599434306583,7.498287293100053,4.507855647517488,2.9904316455825652,0,0,,2540.0,"381888081.851686,601344081.851686",2540,right_cw0,381888081.8516864,601344081.8516865,right_cw0,2540.0
7.852706776457541,7.4995240249175,4.757054576543289,2.7424694483742114,0,0,,2580.0,"744768081.851686,967680081.851686",2580,left_cw0,744768081.8516864,967680081.8516864,left_cw0,2580.0
7.689307703724301,7.500395999412186,4.503659162571442,2.996736836840744,0,0,,1380.0,"751680081.851686,870912081.851686",1380,left_cw1,751680081.8516864,870912081.8516864,left_cw1,1380.0
7.706738431350262,7.501399622315354,4.74910458883547,2.752295033479884,0,0,,1500.0,"667008081.851686,796608081.851686",1500,left_cw0,667008081.8516864,796608081.8516864,left_cw0,1500.0
7.860383919030079,7.501725465915774,4.691648278532957,2.8100771873828165,0,0,,2620.0,"19008081.8516864,245376081.851686",2620,left_cw0,19008081.851686403,245376081.85168642,left_cw0,2620.0
7.865914524941108,7.501780370252539,4.472992770984115,3.0287875992684237,0,0,,2660.0,"1728081.8516864,231552081.851686",2660,left_cw0,1728081.8516864013,231552081.8516864,left_cw0,2660.0
7.594052642675511,7.509179268274416,4.489930620707839,3.019248647566577,0,0,,620.0,"364608081.851686,418176081.851686",620,0rev_cw1,364608081.8516864,418176081.8516864,0rev_cw1,620.0
7.725347525676186,7.514533015067014,4.808297296075919,2.706235718991096,0,0,,1540.0,"304128081.851686,437184081.851686",1540,left_cw0,304128081.8516864,437184081.8516864,left_cw0,1540.0
7.737634147679563,7.5158682339218625,4.468221773177497,3.0476464607443656,0,0,,1620.0,"805248081.851686,945216081.851686",1620,left_cw0,805248081.8516864,945216081.8516864,left_cw0,1620.0
7.85420236617517,7.517446719357921,4.417136754392382,3.1003099649655397,0,0,,2460.0,"829440081.851686,1041984081.85169",2460,left_cw0,829440081.8516864,1041984081.8516864,left_cw0,2460.0
7.854229439411736,7.517473792594487,4.70992598737806,2.807547805216426,0,0,,2460.0,"190080081.851686,402624081.851686",2460,left_cw0,190080081.8516864,402624081.85168636,left_cw0,2460.0
7.872744059727243,7.5195613081872015,4.782319901835419,2.7372414063517825,0,0,,2580.0,"209088081.851686,432000081.851686",2580,left_cw0,209088081.8516864,432000081.85168636,left_cw0,2580.0
7.856865146718739,7.520109499901491,4.667633774608146,2.8524757252933446,0,0,,2460.0,"362880081.851686,575424081.851686",2460,left_cw0,362880081.8516864,575424081.8516865,left_cw0,2460.0
7.589630583449109,7.5211843137708065,4.809095276134946,2.71208903763586,0,0,,500.0,"399168081.851686,442368081.851686",500,0rev_cw0,399168081.8516864,442368081.8516864,0rev_cw0,500.0
7.608421024805848,7.523547650404753,4.589313215519631,2.9342344348851213,0,0,,620.0,"554688081.851686,608256081.851686",620,0rev_cw1,554688081.8516864,608256081.8516864,0rev_cw1,620.0
7.8658783256906,7.523646977299087,4.771682665019825,2.7519643122792625,0,0,,2500.0,"17280081.8516864,233280081.851686",2500,left_cw0,17280081.851686403,233280081.85168642,left_cw0,2500.0
7.835854733078933,7.526477594133006,4.538511085234594,2.9879665088984115,0,0,,2260.0,"326592081.851686,521856081.851686",2260,left_cw1,326592081.8516864,521856081.8516864,left_cw1,2260.0
7.721455510022094,7.527068104135714,4.463956271649178,3.063111832486536,0,0,,1420.0,"578880081.851686,701568081.851686",1420,left_cw1,578880081.8516864,701568081.8516864,left_cw1,1420.0
7.609944263983776,7.530546591156945,4.494469915184895,3.03607667597205,0,0,,580.0,"710208081.851686,760320081.851686",580,0rev_cw0,710208081.8516864,760320081.8516864,0rev_cw0,580.0
7.8410338199068015,7.531656680960874,4.514164788139629,3.017491892821245,0,0,,2260.0,"672192081.851686,867456081.851686",2260,left_cw1,672192081.8516864,867456081.8516864,left_cw1,2260.0
7.880103977363577,7.5323969273978,4.527586990636662,3.004809936761138,0,0,,2540.0,"19008081.8516864,238464081.851686",2540,right_cw0,19008081.851686403,238464081.85168642,right_cw0,2540.0
7.619299007926271,7.534425633525176,4.5787429220014255,2.955682711523751,0,0,,620.0,"727488081.851686,781056081.851686",620,0rev_cw1,727488081.8516864,781056081.8516864,0rev_cw1,620.0
7.741222354002074,7.535883544967167,4.60003791032137,2.9358456346457973,0,0,,1500.0,"181440081.851686,311040081.851686",1500,left_cw0,181440081.8516864,311040081.85168636,left_cw0,1500.0
7.7634207499339976,7.536179134602033,4.638266362539427,2.897912772062607,0,0,,1660.0,"822528081.851686,965952081.851686",1660,left_cw1,822528081.8516864,965952081.8516864,left_cw1,1660.0
7.764400270626072,7.537158655294108,4.631328979160484,2.9058296761336235,0,0,,1660.0,"286848081.851686,430272081.851686",1660,left_cw1,286848081.8516864,430272081.8516864,left_cw1,1660.0
7.857718386616985,7.537389844522529,4.6096432709245585,2.9277465735979713,0,0,,2340.0,"119232081.851686,321408081.851686",2340,left_cw0,119232081.8516864,321408081.8516864,left_cw0,2340.0
7.902761997989087,7.538627843300517,4.641528331420961,2.8970995118795564,0,0,,2660.0,"191808081.851686,421632081.851686",2660,left_cw1,191808081.8516864,421632081.85168636,left_cw1,2660.0
7.7661010627114955,7.538859447379531,4.474063223597321,3.06479622378221,0,0,,1660.0,"269568081.851686,412992081.851686",1660,left_cw0,269568081.8516864,412992081.8516864,left_cw0,1660.0
7.7451728270646925,7.539834018029785,4.819214438374874,2.720619579654911,0,0,,1500.0,"304128081.851686,433728081.851686",1500,left_cw0,304128081.8516864,433728081.8516864,left_cw0,1500.0
7.740600194078853,7.5407370866182095,4.616068856944223,2.9246682296739857,0,0,,1460.0,"544320081.851686,670464081.851686",1460,left_cw0,544320081.8516864,670464081.8516864,left_cw0,1460.0
7.886605035043575,7.544373686652062,4.708919809402475,2.8354538772495865,0,0,,2500.0,"381888081.851686,597888081.851686",2500,right_cw0,381888081.8516864,597888081.8516865,right_cw0,2500.0
7.758666378893341,7.5478518682841695,4.697595980665316,2.850255887618854,0,0,,1540.0,"632448081.851686,765504081.851686",1540,left_cw1,632448081.8516864,765504081.8516864,left_cw1,1540.0
7.6174100858664335,7.548963816188131,4.827088753417278,2.7218750627708532,0,0,,500.0,"36288081.8516864,79488081.8516864",500,0rev_cw0,36288081.8516864,79488081.8516864,0rev_cw0,500.0
7.780104968627297,7.552863353295333,4.674546877383639,2.8783164759116944,0,0,,1660.0,"649728081.851686,793152081.851686",1660,left_cw1,649728081.8516864,793152081.8516864,left_cw1,1660.0
