cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
7.943211938600893,7.863814265774062,4.578617971460464,3.2851962943135984,0,0,,580.0,"865728081.851686,915840081.851686",580,0rev_cw1,865728081.8516864,915840081.8516864,0rev_cw1,580.0
7.962578017652622,7.872228941677263,4.851732754719998,3.0204961869572653,0,0,,660.0,"399168081.851686,456192081.851686",660,0rev_cw1,399168081.8516864,456192081.8516864,0rev_cw1,660.0
7.957409175736725,7.87253580133563,4.489909616403725,3.3826261849319046,0,0,,620.0,"278208081.851686,331776081.851686",620,0rev_cw1,278208081.8516864,331776081.8516864,0rev_cw1,620.0
7.963131962530806,7.872782886555447,4.545274237693993,3.327508648861454,0,0,,660.0,"796608081.851686,853632081.851686",660,0rev_cw0,796608081.8516864,853632081.8516864,0rev_cw0,660.0
7.959332097721387,7.874458723320292,4.526562387358137,3.3478963359621554,0,0,,620.0,"157248081.851686,210816081.851686",620,0rev_cw1,157248081.8516864,210816081.8516864,0rev_cw1,620.0
7.973842078682704,7.878017301133081,4.704817043551994,3.1732002575810863,0,0,,700.0,"19008081.8516864,79488081.8516864",700,0rev_cw1,19008081.851686403,79488081.8516864,0rev_cw1,700.0
7.950269385864567,7.881823116186265,5.073330402830065,2.8084927133562,0,0,,500.0,"243648081.851686,286848081.851686",500,0rev_cw0,243648081.8516864,286848081.85168636,0rev_cw0,500.0
7.950868847034572,7.8824225773562695,5.012829716323799,2.8695928610324706,0,0,,500.0,"259200081.851686,302400081.851686",500,0rev_cw1,259200081.8516864,302400081.85168636,0rev_cw1,500.0
7.953737671246033,7.885291401567731,4.923859471111257,2.9614319304564733,0,0,,500.0,"278208081.851686,321408081.851686",500,0rev_cw1,278208081.8516864,321408081.8516864,0rev_cw1,500.0
7.977653419677189,7.88730434370183,4.66063627359184,3.22666807010999,0,0,,660.0,"606528081.851686,663552081.851686",660,0rev_cw1,606528081.8516864,663552081.8516864,0rev_cw1,660.0
7.978743681008774,7.888394605033415,4.817231974869687,3.071162630163728,0,0,,660.0,"589248081.851686,646272081.851686",660,0rev_cw1,589248081.8516864,646272081.8516864,0rev_cw1,660.0
7.974457449154613,7.889584074753518,4.450101878590965,3.439482196162553,0,0,,620.0,"641088081.851686,694656081.851686",620,0rev_cw1,641088081.8516864,694656081.8516864,0rev_cw1,620.0
7.982452746882233,7.892103670906874,4.6955822640536296,3.1965214068532437,0,0,,660.0,"537408081.851686,594432081.851686",660,0rev_cw1,537408081.8516864,594432081.8516864,0rev_cw1,660.0
7.960964167840487,7.892517898162184,5.040557816717264,2.8519600814449206,0,0,,500.0,"433728081.851686,476928081.851686",500,0rev_cw1,433728081.8516864,476928081.8516864,0rev_cw1,500.0
7.990574121423981,7.8947493438743575,4.756460541823032,3.1382888020513255,0,0,,700.0,"209088081.851686,269568081.851686",700,0rev_cw1,209088081.8516864,269568081.85168636,0rev_cw1,700.0
7.976693953619944,7.902771982367377,5.076428811851644,2.8263431705157336,0,0,,540.0,"381888081.851686,428544081.851686",540,0rev_cw0,381888081.8516864,428544081.8516864,0rev_cw0,540.0
7.972031935755831,7.903585666077529,5.0853477655112815,2.818237900566247,0,0,,500.0,"69120081.8516864,112320081.851686",500,0rev_cw1,69120081.8516864,112320081.8516864,0rev_cw1,500.0
8.000995256631514,7.910646180656154,4.594229059086739,3.3164171215694145,0,0,,660.0,"433728081.851686,490752081.851686",660,0rev_cw0,433728081.8516864,490752081.8516864,0rev_cw0,660.0
7.994707549394045,7.915309876567214,4.610660921233552,3.3046489553336627,0,0,,580.0,"468288081.851686,518400081.851686",580,0rev_cw1,468288081.8516864,518400081.8516864,0rev_cw1,580.0
8.00315222368546,7.9182788492843645,4.666242221605192,3.252036627679172,0,0,,620.0,"883008081.851686,936576081.851686",620,0rev_cw1,883008081.8516864,936576081.8516864,0rev_cw1,620.0
8.009078267149672,7.918729191174313,4.547668906323765,3.371060284850547,0,0,,660.0,"260928081.851686,317952081.851686",660,0rev_cw0,260928081.8516864,317952081.85168636,0rev_cw0,660.0
