cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_KERBIN_et_s,event2_JOOL_et_s,leg1_path,leg1_tof_days,leg2_path,leg2_tof_days,flyby1_KERBIN_vinf_in_km_s,flyby1_KERBIN_vinf_out_km_s,flyby1_KERBIN_vinf_mismatch_km_s,flyby1_KERBIN_turn_required_deg,flyby1_KERBIN_turn_max_deg,flyby1_KERBIN_turn_margin_deg,flyby1_KERBIN_turn_excess_deg
35.65571384785744,7.821985401001111,4.4588145696847,3.1775928863543,0.18557794496211155,0.0,20.448986201334478,2795.0,"711936081.851686,806544081.851686,953424081.851686","1095,1700","left_cw1,left_cw0",711936081.8516864,806544081.8516864,953424081.8516864,left_cw1,1095.0,left_cw0,1700.0,4.457144686168682,4.642722631130794,0.18557794496211155,29.122489570024896,49.571475771359374,20.448986201334478,0.0
28.395802375967946,7.822495781856177,4.541439646198851,3.143012408440988,0.1380437272163375,0.0,16.726094411208187,1496.0,"98496081.8516864,174182481.851686,227750481.851686","876,620","left_cw1,0rev_cw0",98496081.8516864,174182481.85168642,227750481.85168642,left_cw1,876.0,0rev_cw0,620.0,4.516239151547409,4.6542828787637465,0.1380437272163375,32.37106333063218,49.09715774184037,16.726094411208187,0.0
22.770104029374597,7.827464138570828,4.671310243535025,3.057019823583114,0.09913407145268849,0.0,24.12736736867705,2715.0,"710208081.851686,804816081.851686,944784081.851686","1095,1620","0rev_cw1,left_cw0",710208081.8516864,804816081.8516864,944784081.8516864,0rev_cw1,1095.0,left_cw0,1620.0,4.672180232227502,4.771314303680191,0.09913407145268849,23.1906083300573,47.31797569873435,24.12736736867705,0.0
9.750456236516197,7.828572289067362,5.074346959542691,2.7409804138549654,0.013244915669706536,0.0,16.463794225864305,1084.0,"539136081.851686,589593681.851686,632793681.851686","584,500","right_cw1,0rev_cw0",539136081.8516864,589593681.8516864,632793681.8516864,right_cw1,584.0,0rev_cw0,500.0,5.101849742676758,5.088604827007051,0.013244915669706536,26.391128571009205,42.85492279687351,16.463794225864305,0.0
8.390591599773343,7.833357311941969,5.071253413502663,2.7589731968672395,0.003130701572066741,0.0,14.352339399065011,2124.0,"806976081.851686,857433681.851686,990489681.851686","584,1540","right_cw1,left_cw0",806976081.8516864,857433681.8516864,990489681.8516864,right_cw1,584.0,left_cw0,1540.0,5.105373195639106,5.102242494067039,0.003130701572066741,28.40659109165847,42.75893049072348,14.352339399065011,0.0
12.197259650554376,7.834057989111512,5.064196373087023,2.741150759585403,0.02871085643908522,0.0,20.06829913511205,2084.0,"616896081.851686,667353681.851686,796953681.851686","584,1500","right_cw1,left_cw0",616896081.8516864,667353681.8516864,796953681.8516864,right_cw1,584.0,left_cw0,1500.0,5.096797894007475,5.0680870375683895,0.02871085643908522,22.9301708594334,42.998469994545445,20.06829913511205,0.0
10.608755287429858,7.838125357631083,4.775583312182348,3.0445802268569087,0.017961818591825995,0.0,31.096725429642106,2150.0,"464832081.851686,527904081.851686,650592081.851686","730,1420","0rev_cw0,left_cw0",464832081.8516864,527904081.8516864,650592081.8516865,0rev_cw0,730.0,left_cw0,1420.0,4.778143089686549,4.796104908278375,0.017961818591825995,15.398185827958427,46.494911257600535,31.096725429642106,0.0
29.571240866014527,7.839093558668902,4.661480252444945,3.032030078701979,0.1455832275219784,0.0,28.413287152662576,1755.0,"131328081.851686,225936081.851686,282960081.851686","1095,660","0rev_cw0,0rev_cw1",131328081.8516864,225936081.85168642,282960081.8516864,0rev_cw0,1095.0,0rev_cw1,660.0,4.663032688088567,4.808615915610545,0.1455832275219784,18.725898374064368,47.13918552672694,28.413287152662576,0.0
18.677083271131295,7.844366288351788,5.062836904290168,2.7084802198326465,0.07304916422897278,0.0,17.47100525463999,1084.0,"349056081.851686,399513681.851686,442713681.851686","584,500","right_cw1,0rev_cw0",349056081.8516864,399513681.8516864,442713681.8516864,right_cw1,584.0,0rev_cw0,500.0,5.099489734147225,5.026440569918252,0.07304916422897278,25.74735972476965,43.21836497940964,17.47100525463999,0.0
29.797329137983454,7.8444506330458825,4.520039089115794,3.178323960295368,0.14608758363472063,0.0,5.876266192502172,2216.0,"848448081.851686,924134481.851686,1039910481.85169","876,1340","left_cw1,left_cw0",848448081.8516864,924134481.8516864,1039910481.8516864,left_cw1,876.0,left_cw0,1340.0,4.549783519208175,4.695871102842895,0.14608758363472063,42.72281509457835,48.59908128708052,5.876266192502172,0.0
40.72259904809158,7.848855697046973,4.669712805167689,2.9597066852959153,0.21943620658336904,0.0,8.600593396675139,2555.0,"812160081.851686,906768081.851686,1032912081.85169","1095,1460","0rev_cw1,left_cw0",812160081.8516864,906768081.8516864,1032912081.8516864,0rev_cw1,1095.0,left_cw0,1460.0,4.670715514154455,4.8901517207378244,0.21943620658336904,37.97769978433303,46.57829318100818,8.600593396675139,0.0
